type,brand,material,style,color,state,price
dress,h&m,polyester,formal,blue,used,39.99
shoes,nike,leather,formal,black,new,149.99
jacket,h&m,leather,casual,black,new,149.99
jacket,adidas,polyester,casual,black,used,59.99
jacket,nike,cotton,athletic,blue,used,119.99
jacket,gucci,cotton,casual,purple,new,699.99
shoes,h&m,leather,athletic,black,new,79.99
jacket,h&m,leather,athletic,red,new,109.99
shoes,pull&bear,leather,casual,black,used,59.99
shoes,armani,leather,formal,black,new,899.99
jacket,gucci,leather,casual,black,used,299.99
pants,levis,cotton,casual,blue,new,39.99
dress,levis,cotton,formal,black,new,89.99
shoes,zara,leather,athletic,black,new,89.99
pants,levis,cotton,casual,black,new,49.99
pants,h&m,polyester,athletic,white,new,39.99
shirt,zara,cotton,casual,blue,new,29.99
pants,armani,leather,formal,black,new,499.99
jacket,h&m,leather,casual,black,used,49.99
dress,dior,leather,casual,blue,new,899.99
shoes,adidas,polyester,athletic,yellow,new,79.99
shoes,pull&bear,cotton,casual,green,new,29.99
shoes,gap,leather,formal,brown,used,119.99
jacket,nike,leather,casual,black,used,199.99
pants,dior,polyester,formal,black,new,149.99
dress,forever21,cotton,formal,red,new,55.5
dress,forever21,polyester,formal,black,used,59.99
pants,dior,leather,formal,black,used,299.99
shoes,gucci,leather,casual,black,new,499.99
dress,levis,cotton,casual,white,new,59.99
shoes,gucci,leather,athletic,black,used,499.99
pants,zara,polyester,casual,black,used,34.99
dress,nike,polyester,formal,red,new,69.99
shirt,nike,cotton,casual,black,new,139.99
jacket,levis,denim,casual,blue,new,89.99
shirt,forever21,polyester,formal,black,used,24.99
shoes,pull&bear,leather,athletic,black,used,69.99
dress,gucci,polyester,formal,black,new,299.99
dress,armani,cotton,formal,black,used,249.99
dress,armani,polyester,formal,purple,used,119.99
pants,dior,leather,formal,black,used,799.99
dress,pull&bear,cotton,formal,red,new,69.99
shoes,armani,leather,formal,black,new,499.99
pants,gucci,leather,formal,black,new,399.99
dress,forever21,polyester,casual,black,used,34.99
jacket,armani,leather,casual,black,new,599.99
pants,zara,cotton,casual,black,new,34.99
dress,h&m,polyester,formal,blue,new,39.99
pants,dior,leather,formal,black,used,249.99
dress,pull&bear,cotton,formal,black,used,69.99
jacket,levis,leather,casual,red,used,129.99
dress,h&m,polyester,formal,purple,new,49.99
jacket,adidas,polyester,casual,black,new,69.99
dress,forever21,polyester,formal,red,used,59.99
pants,zara,cotton,casual,black,used,34.99
dress,zara,polyester,formal,black,new,149.99
shirt,h&m,cotton,casual,blue,used,34.99
shirt,gap,cotton,casual,green,new,29.99
jacket,forever21,polyester,formal,black,new,59.99
dress,pull&bear,cotton,formal,black,new,99.99
shoes,adidas,polyester,casual,green,used,59.99
shirt,forever21,cotton,casual,black,new,14.99
pants,h&m,cotton,casual,green,new,29.99
shirt,zara,cotton,casual,red,new,19.99
dress,nike,polyester,formal,black,used,79.99
jacket,zara,leather,casual,black,new,149.99
shirt,h&m,cotton,casual,purple,new,17.99
pants,levis,denim,casual,black,used,69.99
jacket,levis,cotton,casual,black,used,99.99
shoes,levis,leather,athletic,black,new,129.99
jacket,h&m,leather,athletic,black,used,89.99
jacket,lacoste,leather,casual,black,used,199.99
shoes,armani,leather,formal,black,new,119.99
dress,forever21,polyester,formal,purple,used,59.99
jacket,levis,cotton,casual,purple,new,119.99
shirt,levis,cotton,casual,red,used,29.99
dress,adidas,polyester,formal,red,used,44.99
pants,levis,cotton,casual,black,used,49.99
jacket,h&m,leather,casual,white,used,89.99
dress,levis,cotton,formal,white,new,89.99
pants,dior,denim,casual,blue,used,49.99
shirt,dior,polyester,formal,white,new,149.99
jacket,pull&bear,leather,casual,black,new,169.99
shoes,armani,leather,formal,black,used,299.99
pants,forever21,cotton,casual,blue,new,19.99
dress,levis,polyester,formal,red,used,44.99
shirt,h&m,cotton,casual,green,new,24.99
pants,h&m,cotton,casual,white,new,39.99
jacket,adidas,leather,athletic,black,new,89.99
shirt,lacoste,cotton,casual,green,used,29.99
jacket,armani,leather,casual,black,new,299.99
shoes,adidas,leather,formal,black,used,249.99
shoes,adidas,leather,athletic,white,used,89.99
shoes,nike,polyester,athletic,white,new,139.99
dress,zara,cotton,formal,red,used,69.99
dress,dior,leather,formal,black,new,399.99
shoes,nike,leather,athletic,red,new,109.99
shoes,h&m,leather,athletic,black,used,49.99
pants,h&m,cotton,casual,black,used,34.99
shoes,gucci,leather,athletic,black,new,399.99
dress,h&m,polyester,formal,blue,new,39.99
shirt,zara,cotton,casual,blue,new,39.99
dress,h&m,polyester,formal,black,new,39.99
pants,h&m,cotton,casual,blue,new,39.99
pants,adidas,cotton,athletic,green,new,59.99
shirt,zara,cotton,casual,white,new,29.99
dress,levis,cotton,casual,blue,used,34.99
shirt,zara,cotton,casual,white,new,19.99
jacket,zara,leather,casual,black,new,149.99
jacket,zara,leather,casual,black,new,149.99
jacket,lacoste,polyester,casual,black,new,79.99
jacket,zara,leather,casual,black,new,149.99
pants,nike,polyester,casual,black,new,49.99
jacket,forever21,polyester,formal,black,used,59.99
dress,h&m,cotton,formal,black,new,99.99
shoes,adidas,polyester,athletic,black,new,69.99
pants,h&m,denim,casual,blue,new,29.99
dress,levis,cotton,casual,white,used,49.99
pants,h&m,cotton,casual,black,used,34.99
pants,adidas,polyester,athletic,blue,new,54.99
pants,adidas,polyester,athletic,black,new,54.99
shirt,nike,cotton,athletic,red,new,24.99
jacket,adidas,polyester,athletic,black,used,59.99
pants,dior,leather,formal,black,used,349.99
shoes,armani,leather,formal,black,new,499.99
shirt,lacoste,cotton,casual,green,new,39.99
shoes,gucci,leather,athletic,black,new,299.99
shirt,h&m,cotton,formal,white,used,19.99
shoes,nike,polyester,athletic,red,new,109.99
dress,h&m,polyester,formal,red,used,54.99
dress,zara,polyester,formal,black,new,79.99
shoes,nike,leather,athletic,black,new,129.99
pants,h&m,cotton,casual,black,used,34.99
jacket,h&m,leather,casual,white,used,89.99
shirt,zara,cotton,casual,red,new,29.99
dress,pull&bear,cotton,formal,white,new,99.99
shoes,pull&bear,leather,athletic,black,new,44.99
shirt,zara,cotton,casual,white,new,29.99
jacket,h&m,polyester,casual,green,new,39.99
shoes,zara,leather,formal,black,new,149.99
shoes,h&m,leather,formal,black,new,49.99
jacket,lacoste,leather,casual,black,new,179.99
jacket,h&m,leather,casual,brown,new,99.99
pants,levis,denim,casual,blue,new,79.99
pants,forever21,cotton,casual,green,used,29.99
jacket,gucci,leather,athletic,red,new,799.99
shoes,gucci,leather,formal,black,new,499.99
shoes,adidas,leather,athletic,black,new,89.99
dress,forever21,polyester,formal,black,new,39.99
shoes,adidas,polyester,athletic,white,used,79.99
pants,h&m,denim,casual,blue,new,29.99
jacket,h&m,leather,athletic,red,new,109.99
dress,zara,polyester,formal,white,used,39.99
dress,armani,polyester,formal,black,new,149.99
shoes,zara,leather,athletic,black,new,79.99
shoes,pull&bear,leather,casual,white,new,69.99
jacket,gucci,leather,casual,brown,new,999.99
shirt,armani,polyester,casual,black,used,39.99
shoes,pull&bear,cotton,athletic,green,new,69.99
shoes,h&m,polyester,athletic,white,new,79.99
pants,zara,cotton,casual,black,new,34.99
dress,levis,polyester,formal,red,used,44.99
dress,forever21,polyester,formal,black,used,39.99
shoes,zara,leather,casual,white,new,129.99
pants,h&m,cotton,casual,green,new,24.99
jacket,gap,leather,athletic,black,new,149.99
dress,adidas,cotton,formal,black,used,59.99
shirt,zara,polyester,casual,red,used,19.99
pants,zara,cotton,casual,black,new,34.99
shoes,pull&bear,leather,athletic,black,new,79.99
dress,h&m,polyester,formal,blue,new,39.99
jacket,pull&bear,leather,casual,black,new,69.99
dress,levis,polyester,formal,white,new,89.99
shoes,adidas,leather,athletic,black,used,89.99
jacket,zara,leather,casual,black,new,149.99
shirt,pull&bear,cotton,casual,red,new,15.99
pants,h&m,cotton,casual,black,used,34.99
shoes,gucci,leather,athletic,black,new,399.99
pants,forever21,cotton,casual,black,new,24.99
jacket,h&m,leather,casual,black,new,139.99
jacket,zara,leather,casual,black,used,89.99
pants,forever21,cotton,casual,black,new,24.99
dress,pull&bear,cotton,formal,white,new,79.99
pants,h&m,polyester,athletic,black,new,49.99
jacket,zara,denim,casual,black,used,69.99
shirt,forever21,polyester,casual,red,used,29.99
shirt,zara,cotton,casual,green,new,27.99
jacket,gucci,leather,casual,black,new,499.99
jacket,h&m,leather,casual,brown,used,119.99
pants,h&m,polyester,casual,green,new,39.99
dress,zara,polyester,formal,black,used,49.99
jacket,levis,leather,casual,white,new,149.99
shirt,forever21,cotton,casual,blue,new,14.99
jacket,gucci,leather,casual,black,used,199.99
